ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45103 11 45358 13 45613 14 45869 14 46124 15 46380 15 46636 14 46892 13 47149 11 47406 9
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,27992 2 28247 4 28503 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50025 5 50277 12 50532 14 50787 15 51042 17 51297 18 51553 18 51808 19 52063 20 52319 20 52575 19 52831 19 53088 17 53344 17 53601 15 53858 12 54115 10
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10891 8 11146 10 11400 13 11655 14 11910 15 12165 16 12421 15 12677 15 12933 14 13188 15 13444 14 13700 13 13957 12 14213 10 14470 8 14727 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,30876 5 31131 7 31375 8 31387 8 31629 11 31642 9 31883 24 32138 25 32392 27 32647 28 32903 28 33159 27 33414 22 33670 21 33926 21 34182 21 34438 19 34694 18 34951 16 35207 15 35464 12 35722 9
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50841 7 51096 8 51349 12 51604 13 51859 14 52115 14 52370 14 52625 14 52881 14 53137 14 53392 14 53648 13 53903 13 54160 11 54416 10 54673 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38563 7 38818 9 39072 11 39327 12 39581 14 39837 14 40093 14 40349 14 40605 14 40861 13 41117 13 41373 12 41630 10 41886 10 42143 7 42401 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47231 2 47750 4 48268 6 48787 7 49306 8 49825 8 49845 3 50344 8 50361 9 50863 8 50879 12 51382 9 51398 12 51901 9 51917 13 52420 10 52436 13 52939 12 52954 15 53458 31 53977 31 54496 32 55015 32 55534 32 56053 33 56572 33 57091 33 57610 33 58129 33 58648 34 59167 34 59686 34 60205 34 60724 35 61243 35 61762 35 62281 35 62800 35 63319 34 63838 34 64357 34 64876 34 65396 33 65915 33 66434 34 66953 34 67472 35 67991 36 68510 37 69029 38 69548 39 70067 39 70586 40 71105 40 71624 41 72143 43 72662 44 73181 46 73701 47 73752 3 74220 48 74269 8 74739 58 75257 60 75777 60 76296 61 76815 62 77334 63 77853 63 78373 62 78891 64 79410 64 79929 64 80448 64 80967 65 81486 65 82005 66 82524 66 83043 66 83562 66 84081 66 84600 66 85120 65 85639 66 86158 66 86677 66 87197 64 87716 64 88235 64 88754 64 89274 63 89794 62 90313 62 90833 61 91353 60 91872 61 92392 60 92913 59 93432 59 93952 60 94472 60 94991 62 95511 62 96031 62 96551 62 97070 62 97590 62 98109 63 98628 64 99148 63 99667 64 100187 64 100706 65 101225 66 101745 66 102264 67 102783 68 103302 68 103822 67 104341 68 104861 68 105381 68 105901 68 106421 68 106942 68 107462 67 107983 66 108504 65 109025 63 109546 62 110067 61 110588 63 111108 64 111627 65 112147 65 112668 64 113188 63 113708 63 114227 64 114748 62 115268 61 115787 61 116306 62 116826 61 117346 60 117866 59 118385 60 118905 25 118932 32 119424 23 119454 29 119944 22 119975 27 120464 21 120496 26 120984 20 121018 24 121503 20 121540 22 122023 20 122061 20 122542 20 122582 19 123061 21 123103 18 123581 21 123623 18 124100 21 124141 19 124620 20 124660 20 125140 20 125180 21 125660 20 125700 21 126180 20 126220 20 126701 18 126745 15 127221 17 127267 11 127741 15 127793 3 128260 14 128781 12 129301 14 129821 14
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,116258 4 116777 6 117296 6 117814 7 118333 8 118852 8 119371 8 119890 8 120409 8 120928 9 121447 9 121966 9 122485 9 123004 9 123523 9 124042 10 124561 10 125080 10 125599 10 126118 10 126637 10 127156 10 127675 10 128194 11 128713 11 129232 10 129751 10 130271 8 130791 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24415 10 24932 14 25449 18 25967 20 26484 23 27001 25 27519 26 28037 27 28555 28 29074 28 29592 29 30111 29 30630 29 31148 30 31667 30 32186 30 32705 29 33225 28 33744 27 34263 26 34782 25 35301 24 35820 24 36340 21 36860 19 37380 17 37900 14 38419 12 38942 5
